回答者ID,所属部門,地域,回答者氏名・役職,管掌範囲,主要な管理対象,昨年度IT予算執行額,新しいツールやシステムを導入する時、実際にどのように決めていますか？,判断する時に重視することは何ですか？,中央ITや他部門に相談しますか？,新しいツール・システムの導入で困ることは？,システムの設計・検討段階で、セキュリティをどのように考慮していますか？,ID・アクセス管理 - 認証方法,ID・アクセス管理 - 権限管理,ID・アクセス管理 - 管理方法,データの保護設計はどうなっていますか？,リリース前の検証・評価はどうしていますか？,セキュリティ設計・実装で困ることは？,他部門からデータ提供を依頼された時、どう対応していますか？,データの機密度分類（重要度のランク付け）をしていますか？,データの品質管理はどうしていますか？,重要なデータのバックアップは？,データ管理で困ることは？,本番システムに変更を加える時、どうしていますか？,変更が失敗した時の対応は？,システムトラブルが起きた時、どう対応していますか？,トラブルの重大度は定義されていますか？,トラブル後の振り返りはしていますか？,システム変更・トラブル対応で困ることは？,IT予算はどのように決まっていますか？,予算の使い方に制約はありますか？,予算超過しそうな時はどうしますか？,クラウド（AWS/Azure/GCP等）を使っていますか？,クラウドコストの管理は？,予算・コスト管理で困ることは？,予算・コスト管理で、どんな支援があれば役立ちますか？,ベンダー・SaaSを新規契約する時、どのように決めていますか？,ベンダー選定時に誰が関与しますか？,技術選定やシステム導入で相談する相手は？,ベンダー選定・管理で困っていることは？,どんな支援があれば役立ちますか？,他部門との調整で困ることは？,他地域との調整で困ることは？,どんな基準や支援があれば、もっと迅速に判断・活動できますか？,その他ITガバナンスに関して、ご意見・提言・アイデア等
R049,インフラ,EMEA,回答者750,業務アプリケーション、その他,インフラ全般,4946,チーム内で必要性を議論,その他(1)、既存システムとの連携(2)、チーム内に使える人がいるか(3),必ず相談する,技術的な評価ができる人材がいない、比較検討する時間がない、予算取りの手続きが不明確、機密情報の定義が難しく、導入して良いか判断に迷う,開発/テスト環境と本番環境を分離している、ネットワーク構成図を作成し、境界防御（FW等）を確認している,SSO（シングルサインオン）連携、MFA（二段階認証）,共通アカウントを複数人で利用,1Password等の管理ツール、ブラウザの保存機能、Excelやメモで管理,保存データの暗号化、操作ログの改ざん防止・長期保存,特になし,セキュリティ要件の具体的な書き方がわからない,依頼者が社内なら基本的に提供、依頼内容を確認、上司に確認、個人情報が含まれるかチェック,分類したいが、基準が不明確（難解）で迷うことがある,問題が起きたら都度対応、定期的なエラーチェック（重複・欠損値の確認）、品質測定指標（SLA）を設定している,自動バックアップ,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,ロールバック（切り戻し）手順を準備、変更計画書を作成,過去の失敗事例を参考にする、その場で対応方法を考える,チーム内で対応,明確な定義がある,方法がわからない,承認プロセスが遅い、緊急時の手続きが不明確,上位組織から割り当て、部門全体の予算から配分、プロジェクトの積み上げ,総額内なら自由,他の項目を削って調整,使っていない,四半期ごとに確認、請求書が来てから確認、毎月モニタリング、予算アラート設定,予算申請の手続きが不明確,他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン,他部門の導入実績を参考、既存ベンダーから選定,調達部門,上司・部門長(1)、チーム内で議論(2)、外部コンサルタント(3),特に困っていない,価格妥当性の評価、契約条件のレビュー、セキュリティ評価の支援,意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない、技術仕様や標準が異なり、話が噛み合わない,意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない,困った時の「技術相談窓口」の明確化、「全社推奨ツール・ベンダー」のリスト,
R050,インフラ,日本,回答者152,基盤・インフラ、IT共通,受注プロセス,2734,複数の候補を比較検討、調達部門に依頼、中央ITに相談,チーム内に使える人がいるか(1)、使いやすさ(2)、コスト(3),必ず相談する,技術的な評価ができる人材がいない、機密情報の定義が難しく、導入して良いか判断に迷う、承認に時間がかかりすぎる,ネットワーク構成図を作成し、境界防御（FW等）を確認している、企画段階でセキュリティ要件（守るべきデータ等）を定義している,単一パスワード、MFA（二段階認証）,共通アカウントを複数人で利用,中央ID基盤（Microsoft Entra ID/Okta等）,操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）,中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト,その他,上司に確認、依頼内容を確認、データの機密度で判断、依頼者が社内なら基本的に提供,分類したいが、基準が不明確（難解）で迷うことがある,定期的なエラーチェック（重複・欠損値の確認）、品質測定指標（SLA）を設定している、問題が起きたら都度対応,していない,データのオーナー（責任者）が誰か不明確,チーム内でレビュー、変更記録を残す、変更計画書を作成,その場で対応方法を考える,トラブル記録を残す,明確な定義がある,していない,誰に連絡すればいいかわからない,部門全体の予算から配分、上位組織から割り当て、前年度実績ベース、プロジェクトの積み上げ,用途別に厳格に管理,次年度に延期、他の項目を削って調整、諦める / サービスを停止する、上司に相談して追加予算を申請,使っていない,予算アラート設定、毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）,予算執行の柔軟性がない、予算申請の手続きが不明確、他部門と重複投資している気がする、クラウドコストが予測できない,コスト最適化のベストプラクティス共有、予算計画策定の相談窓口,無料トライアルで評価,法務、調達部門、自分（現場担当者）、ベンダー・SaaS提供元,その他(1)、ベンダー・SaaS提供元(2)、チーム内で議論(3),ベンダーを変更したいが難しい、複数社を比較する時間がない、技術的な評価ができない,推奨ベンダーリスト、価格妥当性の評価,特に困っていない,言語の壁、意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない,セキュリティリスクの「セルフチェックリスト」、投資額ごとの「スピード承認」枠組み、他部門・他地域との調整を支援する仲介役、困った時の「技術相談窓口」の明確化,全社推奨ツールのリストがあると助かる
R051,ビジネス系IT,EMEA,回答者915,IT共通、業務アプリケーション,セキュリティ,4109,上司に報告・承認を得る、チーム内で必要性を議論、無料トライアルで試用,その他(1)、セキュリティ(2)、他部門での導入実績(3),必ず相談する,セキュリティチェックの基準がわからない、技術的な評価ができる人材がいない,最小権限の原則（必要な人にのみ権限付与）に基づき設計している,単一パスワード,役割ベース（RBAC）、個別に都度付与、共通アカウントを複数人で利用,中央ID基盤（Microsoft Entra ID/Okta等）、Excelやメモで管理、ブラウザの保存機能,保存データの暗号化、操作ログの改ざん防止・長期保存、個人情報・機密情報のマスキング（非表示化）処理,脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査,多層防御などの高度な設計スキルが不足している、開発スピード優先で、セキュリティ設計の時間が取れない、自部署の構成が全社のセキュリティ標準に合っているか判断できない,依頼内容を確認、依頼者が社内なら基本的に提供、上司に確認,分類したいが、基準が不明確（難解）で迷うことがある,その他,クラウド/システム任せ（詳細は不明）,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,特に手順なし、その場で判断,ロールバック手順がある,ベンダーに連絡,定義がない,方法がわからない,緊急時の手続きが不明確,部門全体の予算から配分、その他,よくわからない,諦める / サービスを停止する、次年度に延期,使っていない,毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）、予算アラート設定,予算申請の手続きが不明確、予算執行の柔軟性がない,予算申請テンプレート・ガイドライン、予算計画策定の相談窓口,複数社を比較検討,中央IT、自分（現場担当者）、上司・部門長、法務,チーム内で議論(1)、外部コンサルタント(2)、他部門の経験者(3),複数社を比較する時間がない、技術的な評価ができない、ベンダーを変更したいが難しい、契約条件が妥当か判断できない,ベンダー比較評価のサポート,技術仕様や標準が異なり、話が噛み合わない、意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない,技術仕様や標準が異なり、話が噛み合わない,他部門・他地域との調整を支援する仲介役、「全社推奨ツール・ベンダー」のリスト、技術標準やベストプラクティスの共有,特になし
R052,インフラ,EMEA,回答者248,IT組織、ビジネスプロセス、その他,販売管理システム,8764,無料トライアルで試用、複数の候補を比較検討,コスト(1)、既存システムとの連携(2)、その他(3),ほぼ相談しない,技術的な評価ができる人材がいない、機密情報の定義が難しく、導入して良いか判断に迷う,ネットワーク構成図を作成し、境界防御（FW等）を確認している,MFA（二段階認証）、単一パスワード,役割ベース（RBAC）、個別に都度付与,ブラウザの保存機能,操作ログの改ざん防止・長期保存、個人情報・機密情報のマスキング（非表示化）処理、保存データの暗号化,脆弱性診断（スキャン）を自部署で実施、ソースコードの静的解析を実施、中央IT/セキュリティ部門によるアーキテクチャ審査、外部ベンダーによるペネトレーションテスト,開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,上司に確認、データの機密度で判断、個人情報が含まれるかチェック、依頼内容を確認,独自の基準で分類している,品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）,していない,データの保存期間（いつ捨てていいか）がわからない,チーム内でレビュー,過去の失敗事例を参考にする、ロールバック手順がある,上司に報告、チーム内で対応,明確な定義がある,重大なもののみ,その他,上位組織から割り当て、プロジェクトの積み上げ、部門全体の予算から配分、前年度実績ベース,用途別に厳格に管理,諦める / サービスを停止する、次年度に延期、他の項目を削って調整、上司に相談して追加予算を申請,使っていない,予算アラート設定、コスト最適化施策を実施（リザーブドインスタンス等）、毎月モニタリング,クラウドコストが予測できない、予算執行の柔軟性がない,予算計画策定の相談窓口,他部門の導入実績を参考、中央ITに相談,調達部門、法務,他部門の経験者(1)、チーム内で議論(2)、外部コンサルタント(3),ベンダーを変更したいが難しい、複数社を比較する時間がない、技術的な評価ができない、契約条件が妥当か判断できない,他部門の導入事例共有、契約条件のレビュー、ベンダー比較評価のサポート,特に困っていない,特に困っていない,困った時の「技術相談窓口」の明確化、技術標準やベストプラクティスの共有、投資額ごとの「スピード承認」枠組み、他部門・他地域との調整を支援する仲介役,他部門の成功事例を共有する場がほしい
R053,セキュリティ,日本,回答者504,業務アプリケーション、基盤・インフラ,セキュリティ,8086,調達部門に依頼、中央ITに相談、上司に報告・承認を得る、複数の候補を比較検討,チーム内に使える人がいるか(1)、セキュリティ(2)、コスト(3),必ず相談する,技術的な評価ができる人材がいない、承認に時間がかかりすぎる、承認者が不明確（誰に判をもらえばいいか不明）、機密情報の定義が難しく、導入して良いか判断に迷う,外部公開する窓口（APIやWeb公開）を最小限に絞っている,MFA（二段階認証）、単一パスワード,個別に都度付与、共通アカウントを複数人で利用、役割ベース（RBAC）,中央ID基盤（Microsoft Entra ID/Okta等）、ブラウザの保存機能、1Password等の管理ツール,通信経路の暗号化（SSL/TLS等）、操作ログの改ざん防止・長期保存,脆弱性診断（スキャン）を自部署で実施,報告・相談先（セキュリティ担当者）がわからない,依頼内容を確認、データの機密度で判断、依頼者が社内なら基本的に提供,していない / 分類方法がわからない,品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）,していない,データのオーナー（責任者）が誰か不明確,承認を得る、変更記録を残す、チーム内でレビュー、変更計画書を作成,ロールバック手順がある、その場で対応方法を考える、過去の失敗事例を参考にする,中央ITに連絡、チーム内で対応、トラブル記録を残す,定義がない,重大なもののみ,ロールバック方法がわからない,部門全体の予算から配分、前年度実績ベース,用途別に厳格に管理,他の項目を削って調整、次年度に延期、上司に相談して追加予算を申請、諦める / サービスを停止する,使っていない,予算アラート設定、四半期ごとに確認、コスト最適化施策を実施（リザーブドインスタンス等）、毎月モニタリング,他部門と重複投資している気がする、予算申請の手続きが不明確、予算執行の柔軟性がない,IT投資の費用対効果評価の支援、他部門の予算事例・ベンチマーク情報、予算計画策定の相談窓口、コスト最適化のベストプラクティス共有,複数社を比較検討、調達部門に依頼,法務、中央IT,上司・部門長(1)、外部コンサルタント(2)、ベンダー・SaaS提供元(3),複数社を比較する時間がない、契約条件が妥当か判断できない、ベンダーを変更したいが難しい、技術的な評価ができない,推奨ベンダーリスト、契約条件のレビュー,誰に連絡すればいいかわからない（窓口不明）,意思決定プロセス（誰の許可が必要か）が不透明、言語の壁、時差による調整の困難、技術仕様や標準が異なり、話が噛み合わない,困った時の「技術相談窓口」の明確化、セキュリティリスクの「セルフチェックリスト」,セキュリティ基準をもっとわかりやすくしてほしい
R054,ビジネス系IT,北米,回答者476,IT組織、IT共通,セキュリティ,706,複数の候補を比較検討、チーム内で必要性を議論、無料トライアルで試用,セキュリティ(1)、既存システムとの連携(2)、その他(3),必ず相談する,比較検討する時間がない,企画段階でセキュリティ要件（守るべきデータ等）を定義している,MFA（二段階認証）,個別に都度付与,中央ID基盤（Microsoft Entra ID/Okta等）,通信経路の暗号化（SSL/TLS等）,中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない,上司に確認、依頼者が社内なら基本的に提供、データの機密度で判断,規程通りに分類している,品質測定指標（SLA）を設定している、その他,クラウド/システム任せ（詳細は不明）,データのオーナー（責任者）が誰か不明確,変更記録を残す、チーム内でレビュー、テスト環境で事前検証,ロールバック手順がある、その場で対応方法を考える、過去の失敗事例を参考にする,チーム内で対応、中央ITに連絡,わからない,していない,過去のトラブル情報が共有されていない、承認プロセスが遅い、緊急時の手続きが不明確,前年度実績ベース,用途別に厳格に管理,次年度に延期、諦める / サービスを停止する,使っていない,毎月モニタリング、四半期ごとに確認、予算アラート設定,他部門と重複投資している気がする、予算申請の手続きが不明確、クラウドコストが予測できない、予算執行の柔軟性がない,予算計画策定の相談窓口、IT投資の費用対効果評価の支援,複数社を比較検討、既存ベンダーから選定,中央IT、ベンダー・SaaS提供元,ベンダー・SaaS提供元(1)、中央IT(2)、その他(3),セキュリティ評価の方法がわからない,セキュリティ評価の支援、他部門の導入事例共有、契約条件のレビュー,技術仕様や標準が異なり、話が噛み合わない,時差による調整の困難、優先順位が合わず、対応してもらえない,技術標準やベストプラクティスの共有、「全社推奨ツール・ベンダー」のリスト,
R055,ビジネス系IT,日本,回答者256,その他、業務アプリケーション、IT共通,インフラ全般,7497,無料トライアルで試用、複数の候補を比較検討,既存システムとの連携(1)、ベンダーサポート(2)、チーム内に使える人がいるか(3),相談先がわからない,承認者が不明確（誰に判をもらえばいいか不明）、機密情報の定義が難しく、導入して良いか判断に迷う、承認に時間がかかりすぎる、技術的な評価ができる人材がいない,企画段階でセキュリティ要件（守るべきデータ等）を定義している,単一パスワード,個別に都度付与,1Password等の管理ツール、ブラウザの保存機能,通信経路の暗号化（SSL/TLS等）、保存データの暗号化、個人情報・機密情報のマスキング（非表示化）処理,脆弱性診断（スキャン）を自部署で実施,多層防御などの高度な設計スキルが不足している、開発スピード優先で、セキュリティ設計の時間が取れない,個人情報が含まれるかチェック、上司に確認,していない / 分類方法がわからない,品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う,特に手順なし、その場で判断,ロールバック手順がある、過去の失敗事例を参考にする,中央ITに連絡、ベンダーに連絡、上司に報告,定義がない,重大なもののみ,承認プロセスが遅い、過去のトラブル情報が共有されていない、緊急時の手続きが不明確,部門全体の予算から配分、上位組織から割り当て,用途別に厳格に管理,諦める / サービスを停止する、次年度に延期,使っていない,毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）、請求書が来てから確認,予算申請の手続きが不明確、予算執行の柔軟性がない、他部門と重複投資している気がする,予算申請テンプレート・ガイドライン,"既存ベンダーから選定、他部門の導入実績を参考、セキュリティ評価（ISMS, SOC2等）を実施、無料トライアルで評価",調達部門,上司・部門長(1)、他部門の経験者(2)、ベンダー・SaaS提供元(3),複数社を比較する時間がない,推奨ベンダーリスト、契約条件のレビュー、ベンダー比較評価のサポート、価格妥当性の評価,優先順位が合わず、対応してもらえない,特に困っていない、優先順位が合わず、対応してもらえない,その他,
R056,工場系IT,日本,回答者324,IT共通、業務アプリケーション、その他,販売管理システム,3195,複数の候補を比較検討、チーム内で必要性を議論,その他(1)、チーム内に使える人がいるか(2)、使いやすさ(3),時々相談する,予算取りの手続きが不明確、承認に時間がかかりすぎる、比較検討する時間がない、機密情報の定義が難しく、導入して良いか判断に迷う,開発/テスト環境と本番環境を分離している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、企画段階でセキュリティ要件（守るべきデータ等）を定義している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している,単一パスワード,役割ベース（RBAC）,ブラウザの保存機能、Excelやメモで管理、1Password等の管理ツール,個人情報・機密情報のマスキング（非表示化）処理、保存データの暗号化,脆弱性診断（スキャン）を自部署で実施、ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない、多層防御などの高度な設計スキルが不足している、開発スピード優先で、セキュリティ設計の時間が取れない,上司に確認,していない / 分類方法がわからない,品質測定指標（SLA）を設定している,自動バックアップ,その他、データのオーナー（責任者）が誰か不明確,承認を得る,事前に計画していない、過去の失敗事例を参考にする,中央ITに連絡,明確な定義がある,必ずする,承認プロセスが遅い、緊急時の手続きが不明確,前年度実績ベース、プロジェクトの積み上げ、部門全体の予算から配分、上位組織から割り当て,用途別に厳格に管理,上司に相談して追加予算を申請、諦める / サービスを停止する、次年度に延期、他の項目を削って調整,使っていない,四半期ごとに確認、毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）,他部門と重複投資している気がする、予算執行の柔軟性がない、クラウドコストが予測できない、予算申請の手続きが不明確,他部門の予算事例・ベンチマーク情報、クラウドコスト見積もりツール、予算計画策定の相談窓口,"他部門の導入実績を参考、既存ベンダーから選定、中央ITに相談、セキュリティ評価（ISMS, SOC2等）を実施",調達部門、法務、上司・部門長、中央IT,外部コンサルタント(1)、ベンダー・SaaS提供元(2)、チーム内で議論(3),ベンダーを変更したいが難しい、契約条件が妥当か判断できない、複数社を比較する時間がない,セキュリティ評価の支援、他部門の導入事例共有,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない、技術仕様や標準が異なり、話が噛み合わない、時差による調整の困難,他部門・他地域との調整を支援する仲介役、投資額ごとの「スピード承認」枠組み,
R057,組織運営,EMEA,回答者111,IT共通、その他、ビジネスプロセス,セキュリティ,9413,その他,コスト(1)、その他(2)、既存システムとの連携(3),相談先がわからない,機密情報の定義が難しく、導入して良いか判断に迷う、承認に時間がかかりすぎる,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、開発/テスト環境と本番環境を分離している、ネットワーク構成図を作成し、境界防御（FW等）を確認している,SSO（シングルサインオン）連携、MFA（二段階認証）,役割ベース（RBAC）,1Password等の管理ツール、ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）,保存データの暗号化,外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施、脆弱性診断（スキャン）を自部署で実施,多層防御などの高度な設計スキルが不足している、開発スピード優先で、セキュリティ設計の時間が取れない、自部署の構成が全社のセキュリティ標準に合っているか判断できない,依頼内容を確認、個人情報が含まれるかチェック,していない / 分類方法がわからない,問題が起きたら都度対応,手動バックアップ,データ共有の安全な送り方がわからない,テスト環境で事前検証、変更記録を残す,その場で対応方法を考える、ロールバック手順がある,上司に報告,明確な定義がある,重大なもののみ,承認プロセスが遅い,上位組織から割り当て、前年度実績ベース、プロジェクトの積み上げ、部門全体の予算から配分,総額内なら自由,上司に相談して追加予算を申請、他の項目を削って調整、諦める / サービスを停止する、次年度に延期,使っていない,毎月モニタリング、予算アラート設定,予算申請の手続きが不明確、他部門と重複投資している気がする、クラウドコストが予測できない、予算執行の柔軟性がない,他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン、IT投資の費用対効果評価の支援,その他,中央IT、ベンダー・SaaS提供元、自分（現場担当者）,上司・部門長(1)、中央IT(2)、その他(3),技術的な評価ができない、契約条件が妥当か判断できない、複数社を比較する時間がない、ベンダーを変更したいが難しい,推奨ベンダーリスト、契約条件のレビュー,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,言語の壁、優先順位が合わず、対応してもらえない,技術標準やベストプラクティスの共有,
R058,ビジネス系IT,日本,回答者621,ビジネスプロセス、IT共通,セキュリティ,5075,チーム内で必要性を議論,既存システムとの連携(1)、チーム内に使える人がいるか(2)、ベンダーサポート(3),必ず相談する,技術的な評価ができる人材がいない、予算取りの手続きが不明確,特に明文化された設計プロセスはない,SSO（シングルサインオン）連携,個別に都度付与、共通アカウントを複数人で利用,ブラウザの保存機能、Excelやメモで管理、1Password等の管理ツール,個人情報・機密情報のマスキング（非表示化）処理、保存データの暗号化、操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）,特になし,自部署の構成が全社のセキュリティ標準に合っているか判断できない,その他,独自の基準で分類している,品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応,手動バックアップ,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,その他,ロールバック手順がある,その他,定義がない,していない,過去のトラブル情報が共有されていない,部門全体の予算から配分、上位組織から割り当て、前年度実績ベース、プロジェクトの積み上げ,用途別に厳格に管理,他の項目を削って調整、上司に相談して追加予算を申請、諦める / サービスを停止する、次年度に延期,使っていない,毎月モニタリング、予算アラート設定,クラウドコストが予測できない,予算計画策定の相談窓口、クラウドコスト見積もりツール、コスト最適化のベストプラクティス共有,調達部門に依頼,その他,外部コンサルタント(1)、その他(2)、他部門の経験者(3),特に困っていない,契約条件のレビュー、ベンダー比較評価のサポート、価格妥当性の評価,その他,言語の壁、時差による調整の困難,セキュリティリスクの「セルフチェックリスト」、「全社推奨ツール・ベンダー」のリスト、投資額ごとの「スピード承認」枠組み、困った時の「技術相談窓口」の明確化,
R059,工場系IT,EMEA,回答者758,IT組織,インフラ全般,3601,中央ITに相談、無料トライアルで試用、複数の候補を比較検討,コスト(1)、その他(2)、セキュリティ(3),時々相談する,承認者が不明確（誰に判をもらえばいいか不明）、承認に時間がかかりすぎる,特に明文化された設計プロセスはない,SSO（シングルサインオン）連携、MFA（二段階認証）,役割ベース（RBAC）、個別に都度付与、共通アカウントを複数人で利用,中央ID基盤（Microsoft Entra ID/Okta等）,通信経路の暗号化（SSL/TLS等）、個人情報・機密情報のマスキング（非表示化）処理,外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査,多層防御などの高度な設計スキルが不足している,上司に確認、データの機密度で判断,分類したいが、基準が不明確（難解）で迷うことがある,品質測定指標（SLA）を設定している、問題が起きたら都度対応、定期的なエラーチェック（重複・欠損値の確認）,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,承認を得る,過去の失敗事例を参考にする、その場で対応方法を考える,ベンダーに連絡、その他,わからない,していない,緊急時の手続きが不明確、承認プロセスが遅い,上位組織から割り当て、前年度実績ベース、部門全体の予算から配分、プロジェクトの積み上げ,用途別に厳格に管理,他の項目を削って調整,使っていない,その他,他部門と重複投資している気がする、クラウドコストが予測できない、予算執行の柔軟性がない,IT投資の費用対効果評価の支援、コスト最適化のベストプラクティス共有、他部門の予算事例・ベンチマーク情報,無料トライアルで評価、中央ITに相談,調達部門、上司・部門長、法務,その他(1)、外部コンサルタント(2)、ベンダー・SaaS提供元(3),複数社を比較する時間がない、ベンダーを変更したいが難しい、技術的な評価ができない,他部門の導入事例共有、セキュリティ評価の支援、契約条件のレビュー,意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない,時差による調整の困難、言語の壁、技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,困った時の「技術相談窓口」の明確化、セキュリティリスクの「セルフチェックリスト」、技術標準やベストプラクティスの共有、他部門・他地域との調整を支援する仲介役,
R060,その他,北米,回答者754,その他、ビジネスプロセス,受注プロセス,506,中央ITに相談、チーム内で必要性を議論、調達部門に依頼,他部門での導入実績(1)、セキュリティ(2)、ベンダーサポート(3),必ず相談する,技術的な評価ができる人材がいない,外部公開する窓口（APIやWeb公開）を最小限に絞っている、企画段階でセキュリティ要件（守るべきデータ等）を定義している、開発/テスト環境と本番環境を分離している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している,単一パスワード、SSO（シングルサインオン）連携,役割ベース（RBAC）、個別に都度付与,中央ID基盤（Microsoft Entra ID/Okta等）,その他,中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない,上司に確認、個人情報が含まれるかチェック,分類したいが、基準が不明確（難解）で迷うことがある,定期的なエラーチェック（重複・欠損値の確認）,自動バックアップ,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,変更計画書を作成、チーム内でレビュー、変更記録を残す,その場で対応方法を考える,チーム内で対応、ベンダーに連絡、上司に報告,定義がない,方法がわからない,承認プロセスが遅い,上位組織から割り当て、前年度実績ベース、プロジェクトの積み上げ、部門全体の予算から配分,上司の承認が必要,上司に相談して追加予算を申請、他の項目を削って調整、諦める / サービスを停止する、次年度に延期,使っている,特に見ていない,他部門と重複投資している気がする、予算執行の柔軟性がない,コスト最適化のベストプラクティス共有,既存ベンダーから選定、中央ITに相談,法務、中央IT,チーム内で議論(1)、その他(2)、ベンダー・SaaS提供元(3),適切なベンダーの探し方がわからない,契約条件のレビュー、他部門の導入事例共有、価格妥当性の評価、セキュリティ評価の支援,意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,「全社推奨ツール・ベンダー」のリスト,承認プロセスを簡素化してほしい
R061,セキュリティ,EMEA,回答者570,IT共通、業務アプリケーション,インフラ全般,5713,無料トライアルで試用、複数の候補を比較検討、調達部門に依頼、中央ITに相談,他部門での導入実績(1)、その他(2)、セキュリティ(3),時々相談する,比較検討する時間がない、予算取りの手続きが不明確,企画段階でセキュリティ要件（守るべきデータ等）を定義している,SSO（シングルサインオン）連携、MFA（二段階認証）,役割ベース（RBAC）、共通アカウントを複数人で利用、個別に都度付与,1Password等の管理ツール、ブラウザの保存機能,その他,脆弱性診断（スキャン）を自部署で実施,多層防御などの高度な設計スキルが不足している,上司に確認,分類したいが、基準が不明確（難解）で迷うことがある,品質測定指標（SLA）を設定している、定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応,手動バックアップ,データの保存期間（いつ捨てていいか）がわからない,変更記録を残す,過去の失敗事例を参考にする、ロールバック手順がある、その場で対応方法を考える,上司に報告、チーム内で対応、ベンダーに連絡、中央ITに連絡,定義がない,方法がわからない,承認プロセスが遅い,前年度実績ベース、部門全体の予算から配分,総額内なら自由,他の項目を削って調整,使っていない,四半期ごとに確認、特に見ていない,予算執行の柔軟性がない、クラウドコストが予測できない、予算申請の手続きが不明確,IT投資の費用対効果評価の支援,既存ベンダーから選定、複数社を比較検討、中央ITに相談、他部門の導入実績を参考,ベンダー・SaaS提供元,上司・部門長(1)、チーム内で議論(2)、中央IT(3),適切なベンダーの探し方がわからない、契約条件が妥当か判断できない,他部門の導入事例共有,その他,優先順位が合わず、対応してもらえない,「全社推奨ツール・ベンダー」のリスト、投資額ごとの「スピード承認」枠組み、他部門・他地域との調整を支援する仲介役,全社推奨ツールのリストがあると助かる
